Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Carlos Beltran,- - -,151,593,163,29,73,93,1,5.90%,17.00%,0.217,0.315,0.295,0.337,0.513,0.358,124,-3.9,13.1,-10.8,2.3,589
Mark Trumbo,Orioles,159,667,157,47,94,108,2,7.60%,25.50%,0.277,0.278,0.256,0.316,0.533,0.358,123,-2,16.7,-18.3,2.2,6876
Salvador Perez,Royals,139,546,127,22,57,64,0,4.00%,21.80%,0.191,0.28,0.247,0.288,0.438,0.308,88,-4.1,-11.8,14.7,2.2,7304
Leonys Martin,Mariners,143,576,128,15,72,47,24,7.60%,25.90%,0.131,0.313,0.247,0.306,0.378,0.298,88,4.6,-3.8,5.8,2.2,11846
Elvis Andrus,Rangers,147,568,153,8,75,69,24,8.30%,12.30%,0.136,0.333,0.302,0.362,0.439,0.344,112,1.8,9.9,-8.7,2.1,8709
Angel Pagan,Giants,129,543,137,12,71,55,15,7.70%,12.20%,0.141,0.298,0.277,0.331,0.418,0.324,105,1.9,4.9,-1.8,2.1,2918
Joe Panik,Giants,127,526,111,10,67,62,5,9.50%,8.90%,0.14,0.245,0.239,0.315,0.379,0.3,89,2.2,-5.2,9.3,2.1,11936
Jose Iglesias,Tigers,137,513,119,4,57,32,7,5.50%,9.70%,0.081,0.276,0.255,0.306,0.336,0.283,73,1.8,-14.8,17.6,2.1,10231
Rougned Odor,Rangers,150,632,164,33,89,88,14,3.00%,21.40%,0.231,0.297,0.271,0.296,0.502,0.336,106,4.1,8.7,-11,2,12282
Brad Miller,Rays,152,601,133,30,73,81,6,7.80%,24.80%,0.239,0.277,0.243,0.304,0.482,0.333,111,1.6,9.7,-10.9,2,12775
Jonathan Schoop,Orioles,162,647,164,25,82,82,1,3.20%,21.20%,0.187,0.305,0.267,0.298,0.454,0.32,97,-0.5,-2.5,0.1,2,11265
Chase Utley,Dodgers,138,565,129,14,79,52,2,7.10%,20.40%,0.145,0.299,0.252,0.319,0.396,0.312,97,1.3,-1.1,2.7,2,1679
Jacoby Ellsbury,Yankees,148,626,145,9,71,56,20,8.60%,13.40%,0.111,0.295,0.263,0.33,0.374,0.308,91,2.7,-4.2,2.7,2,4727
Carlos Gonzalez,Rockies,150,632,174,25,87,100,2,7.30%,20.40%,0.207,0.346,0.298,0.35,0.505,0.361,108,-1.4,4.7,-6.5,1.9,7287
Russell Martin,Blue Jays,137,535,105,20,62,74,2,12.00%,27.70%,0.167,0.291,0.231,0.335,0.398,0.322,99,-1.7,-2.4,2.7,1.9,4616
J.D. Martinez,Tigers,120,517,141,22,69,68,1,9.50%,24.80%,0.228,0.378,0.307,0.373,0.535,0.384,142,-3.4,22.8,-22.6,1.8,6184
Stephen Vogt,Athletics,137,532,123,14,54,56,0,6.60%,15.60%,0.155,0.275,0.251,0.305,0.406,0.305,93,0.8,-3.9,3.4,1.8,5000
Eugenio Suarez,Reds,159,627,140,21,78,70,11,8.10%,24.70%,0.163,0.304,0.248,0.317,0.411,0.316,93,-1,-6.3,2.8,1.7,12552
Danny Espinosa,Nationals,157,601,108,24,66,72,9,9.00%,29.00%,0.169,0.261,0.209,0.306,0.378,0.294,79,5.1,-10.5,8.3,1.7,9219
Jose Abreu,White Sox,159,695,183,25,67,100,0,6.80%,18.00%,0.175,0.327,0.293,0.353,0.468,0.349,118,-5.7,9.4,-17.3,1.6,15676
Melky Cabrera,White Sox,151,646,175,14,70,86,2,7.30%,10.70%,0.159,0.314,0.296,0.345,0.455,0.342,114,-3.5,7.2,-14,1.6,4022
Yunel Escobar,Angels,132,567,157,5,68,39,0,7.10%,11.80%,0.087,0.339,0.304,0.355,0.391,0.327,108,-5.6,0.2,-3.9,1.6,4191
Jason Heyward,Cubs,142,592,122,7,61,49,11,9.10%,15.70%,0.094,0.266,0.23,0.306,0.325,0.282,72,2,-18.5,15.4,1.6,4940
Corey Dickerson,Rays,148,548,125,24,57,70,0,6.00%,24.50%,0.224,0.285,0.245,0.293,0.469,0.319,101,-1.2,-0.4,-3.6,1.5,10762
Travis Shaw,Red Sox,145,530,116,16,63,71,5,8.10%,25.10%,0.179,0.299,0.242,0.306,0.421,0.31,87,-1.4,-9.5,6.1,1.5,11982
Josh Harrison,Pirates,131,522,138,4,57,59,19,3.40%,14.60%,0.105,0.323,0.283,0.311,0.388,0.301,87,3.2,-5,2.9,1.5,8202
Jose Bautista,Blue Jays,116,517,99,22,68,69,2,16.80%,19.90%,0.217,0.255,0.234,0.366,0.452,0.355,122,-5.2,8.1,-12.4,1.4,1887
Michael Saunders,Blue Jays,140,558,124,24,70,57,1,10.60%,28.10%,0.224,0.321,0.253,0.338,0.478,0.348,117,-0.9,10.3,-15.3,1.4,9981
Justin Upton,Tigers,153,626,140,31,81,87,9,8.00%,28.60%,0.219,0.301,0.246,0.31,0.465,0.329,105,1.6,5.2,-12.8,1.4,5222
Adam Jones,Orioles,152,672,164,29,86,83,2,5.80%,17.10%,0.171,0.28,0.265,0.31,0.436,0.319,96,1.6,-1.5,-7.8,1.4,6368
Denard Span,Giants,143,637,152,11,70,53,12,8.30%,12.40%,0.115,0.291,0.266,0.331,0.381,0.312,96,2.8,0,-6.1,1.4,8347
Maikel Franco,Phillies,152,630,148,25,67,88,1,6.30%,16.80%,0.172,0.271,0.255,0.306,0.427,0.311,92,-1.2,-7.3,1.3,1.4,12179
Adrian Gonzalez,Dodgers,156,633,162,18,69,90,0,8.70%,18.50%,0.15,0.328,0.285,0.349,0.435,0.334,112,-4.9,4.3,-11.8,1.3,1908
Jordy Mercer,Pirates,149,584,133,11,66,59,1,8.70%,14.20%,0.118,0.286,0.256,0.328,0.374,0.304,89,3.6,-4.2,-2,1.3,6547
Nomar Mazara,Rangers,145,568,137,20,59,64,0,6.90%,19.70%,0.153,0.299,0.266,0.32,0.419,0.318,94,-3.3,-7.5,-0.2,1.2,14553
Alex Gordon,Royals,128,506,98,17,62,40,8,10.30%,29.20%,0.16,0.288,0.22,0.312,0.38,0.303,85,0.7,-8.5,3.2,1.2,5209
Melvin Upton Jr.,- - -,149,539,117,20,64,61,27,6.90%,28.80%,0.165,0.3,0.238,0.291,0.402,0.297,84,5.7,-4.5,-1.5,1.2,5015
Danny Valencia,Athletics,130,517,135,17,72,51,1,7.90%,22.20%,0.159,0.346,0.287,0.346,0.446,0.342,118,-1.5,9.7,-16.2,1.1,6364
Jayson Werth,Nationals,143,606,128,21,84,69,5,11.70%,22.90%,0.173,0.288,0.244,0.335,0.417,0.327,101,2.3,3.4,-12.4,1.1,1327
Nick Markakis,Braves,158,684,161,13,67,89,0,10.40%,14.80%,0.129,0.3,0.269,0.346,0.397,0.321,98,-2.4,-4.2,-6.5,1.1,5930
Starlin Castro,Yankees,151,610,156,21,63,70,4,3.90%,19.30%,0.163,0.305,0.27,0.3,0.433,0.313,94,-1.6,-6.1,-4.1,1.1,4579
Mike Napoli,Indians,150,645,133,34,92,101,5,12.10%,30.10%,0.226,0.296,0.239,0.335,0.465,0.343,113,-5.2,5.2,-17.3,1,3057
Joe Mauer,Twins,134,576,129,11,68,49,2,13.70%,16.10%,0.128,0.301,0.261,0.363,0.389,0.327,102,-2.2,-0.6,-9.4,1,1857
Victor Martinez,Tigers,154,610,160,27,65,86,0,8.20%,14.80%,0.186,0.303,0.289,0.351,0.476,0.351,120,-11.4,3,-15.1,0.9,393
Chris Carter,Brewers,160,644,122,41,84,94,3,11.80%,32.00%,0.277,0.26,0.222,0.321,0.499,0.346,112,-4.1,5.1,-16.9,0.9,9911
Jay Bruce,- - -,147,589,135,33,74,99,4,7.50%,21.40%,0.256,0.266,0.25,0.309,0.506,0.34,111,-2.9,4.8,-15.2,0.9,9892
Albert Pujols,Angels,152,650,159,31,71,119,4,7.50%,11.50%,0.189,0.26,0.268,0.323,0.457,0.331,111,-6,2.7,-16.1,0.9,1177
Brandon Phillips,Reds,141,584,160,11,74,64,14,3.10%,11.60%,0.125,0.312,0.291,0.32,0.416,0.315,92,-3.6,-9.3,-0.4,0.9,791
Adonis Garcia,Braves,134,563,145,14,65,65,3,4.30%,16.50%,0.133,0.308,0.273,0.311,0.406,0.308,90,-1.5,-8.8,-0.8,0.9,13777
Howie Kendrick,Dodgers,146,543,124,8,65,40,10,9.20%,17.70%,0.111,0.301,0.255,0.326,0.366,0.303,91,2.4,-3.7,-4.6,0.9,4229
Kendrys Morales,Royals,154,618,147,30,65,93,0,7.80%,19.40%,0.204,0.283,0.263,0.327,0.468,0.339,110,-5,2.3,-16.3,0.7,8610
Matt Kemp,- - -,156,672,167,35,89,108,1,5.40%,23.20%,0.231,0.297,0.268,0.304,0.499,0.333,109,-0.5,6.7,-21.3,0.7,5631
Andrew McCutchen,Pirates,153,675,153,24,81,79,6,10.20%,21.20%,0.174,0.297,0.256,0.336,0.43,0.329,106,-3,2.1,-16.5,0.7,9847
Mitch Moreland,Rangers,147,503,107,22,49,60,1,7.00%,23.50%,0.189,0.266,0.233,0.298,0.422,0.307,87,-1.8,-10,-3.4,0.4,3086
Alcides Escobar,Royals,162,682,166,7,57,55,17,4.00%,14.10%,0.089,0.295,0.261,0.292,0.35,0.278,68,-0.8,-27.2,8.1,0.4,6310
Adeiny Hechavarria,Marlins,155,547,120,3,52,38,1,6.00%,13.30%,0.075,0.269,0.236,0.283,0.311,0.256,56,2,-27.8,14.6,0.4,10459
Marwin Gonzalez,Astros,141,518,123,13,55,51,12,4.20%,22.80%,0.147,0.311,0.254,0.293,0.401,0.298,87,-1.9,-10.2,-4.7,0.3,5497
Cheslor Cuthbert,Royals,128,510,130,12,49,46,2,6.30%,18.80%,0.139,0.32,0.274,0.318,0.413,0.316,94,-4.1,-7.7,-7.4,0.2,10473
Scooter Gennett,Brewers,136,542,131,14,58,56,8,7.00%,21.00%,0.149,0.315,0.263,0.317,0.412,0.315,91,-2.6,-8.9,-7.4,0.1,10339
Yasmany Tomas,Diamondbacks,140,563,144,31,72,83,2,5.50%,24.20%,0.236,0.31,0.272,0.313,0.508,0.345,109,-5.5,0.6,-19.7,-0.1,17171
Eric Hosmer,Royals,158,667,161,25,80,104,5,8.50%,19.80%,0.167,0.301,0.266,0.328,0.433,0.326,101,-5.3,-4.5,-20.4,-0.2,3516
Yonder Alonso,Athletics,156,532,122,7,52,56,3,8.50%,13.90%,0.114,0.284,0.253,0.316,0.367,0.299,88,-3,-10.4,-11,-0.3,2530
Alexei Ramirez,- - -,145,506,115,6,38,48,8,4.20%,12.50%,0.092,0.265,0.241,0.277,0.333,0.264,63,-2.5,-25.3,-14.5,-2.4,5133
