Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Kevin Seitzer,- - -,1439,6062,1557,74,739,613,80,11.00%,10.20%,0.109,0.32,0.295,0.375,0.404,0.351,113,-5.7,96.1,-35.9,26.7,1011730
Terry Puhl,- - -,1531,5480,1361,62,676,435,217,9.20%,9.30%,0.108,0.301,0.28,0.349,0.388,0.332,113,4.2,86.9,-9.9,26.7,1010562
Denis Menke,- - -,1598,5934,1270,101,605,606,34,11.80%,14.40%,0.12,0.28,0.25,0.343,0.37,0.322,104,-11.1,18.8,22.4,26.6,1008766
Bing Miller,- - -,1820,6885,1934,116,946,992,127,5.60%,4.90%,0.15,0.316,0.311,0.359,0.461,0.374,108,-7.1,62.4,-34,26.5,1008871
Raul Mondesi,- - -,1525,6369,1589,271,909,860,229,7.50%,17.70%,0.212,0.296,0.273,0.331,0.485,0.349,112,11.2,111.1,-49.3,26.5,1314
Denard Span,- - -,1168,5233,1334,55,677,412,168,8.40%,11.60%,0.112,0.316,0.284,0.349,0.397,0.33,105,29.6,61.1,24.6,26.5,8347
Doug Rader,- - -,1465,5832,1302,155,631,722,37,9.10%,18.10%,0.152,0.285,0.251,0.322,0.403,0.327,105,-3.5,31.4,20.1,26.5,1010638
Glenn Wright,- - -,1119,4480,1219,94,584,723,38,4.70%,9.10%,0.153,0.308,0.294,0.328,0.447,0.35,97,3.5,-9.3,135.5,26.4,1014280
Tom Brown,- - -,1786,8182,1951,64,1521,736,657,9.10%,12.90%,0.096,0.291,0.265,0.337,0.361,0.334,101,64.5,59.5,-95.9,26.4,1001562
George Wright,- - -,591,2942,867,11,665,330,41,2.30%,4.00%,0.098,0.312,0.302,0.317,0.399,0.325,118,0.1,107.3,108.6,26.4,1014277
Marquis Grissom,- - -,2165,8959,2251,227,1187,967,429,6.20%,13.80%,0.142,0.295,0.272,0.318,0.415,0.32,93,36.2,-53.1,18.8,26.4,652
Lance Johnson,- - -,1447,5800,1565,34,767,486,327,6.10%,6.60%,0.095,0.307,0.291,0.334,0.386,0.32,94,21.2,-18.3,97,26.4,1006482
George Stone,- - -,849,3668,986,23,428,268,133,7.70%,,0.095,,0.301,0.361,0.396,0.368,140,-1.4,147.3,-32.4,26.3,1012564
Dave Henderson,- - -,1538,5677,1324,197,710,708,50,8.20%,19.50%,0.178,0.291,0.258,0.32,0.436,0.336,109,-6.2,49.6,18,26.3,1005630
Buddy Lewis,Senators,1349,5937,1563,71,830,607,83,9.70%,5.10%,0.123,0.305,0.297,0.368,0.42,0.367,110,-11.5,57.9,-7.9,26.2,1007578
Red Rolfe,Yankees,1174,5405,1394,69,942,497,44,9.70%,6.20%,0.124,0.3,0.289,0.36,0.413,0.358,102,-2.4,16.7,57.7,26.2,1011157
Sixto Lezcano,- - -,1291,4814,1122,148,560,591,37,12.00%,16.00%,0.168,0.298,0.271,0.36,0.44,0.358,125,-4.2,135.3,-43.1,26.1,1007593
Mike Lowell,- - -,1601,6500,1619,223,771,952,30,8.40%,12.60%,0.185,0.287,0.279,0.342,0.464,0.346,108,-39.7,25.8,22.7,26,527
Hal Chase,- - -,1919,7939,2158,57,980,941,363,3.50%,8.40%,0.1,0.317,0.291,0.319,0.391,0.341,109,25.6,97.8,-122.6,26,1002163
Ossie Bluege,Senators,1867,7452,1751,43,883,848,140,9.70%,6.90%,0.084,0.29,0.272,0.352,0.356,0.335,89,-8.8,-126.7,124.8,26,1001090
Lloyd Moseby,- - -,1588,6574,1494,169,869,737,280,9.40%,17.30%,0.157,0.291,0.257,0.332,0.414,0.332,103,18.1,41.8,-3.6,26,1009238
John Morrill,- - -,1265,5274,1275,43,821,643,61,6.80%,12.40%,0.107,0.292,0.26,0.31,0.367,0.314,110,-8.3,71.6,22.1,26,1009214
Jack Doyle,- - -,1564,6566,1806,26,971,968,516,6.70%,5.30%,0.086,0.338,0.299,0.351,0.385,0.353,104,48.5,96.6,-43.2,25.9,1003461
Chris Chambliss,- - -,2175,8314,2109,185,912,972,40,7.60%,11.10%,0.136,0.295,0.279,0.334,0.415,0.334,108,-4.6,68.4,-87.9,25.9,1002119
Rich Aurilia,- - -,1652,6278,1576,186,745,756,23,7.20%,13.70%,0.158,0.294,0.275,0.328,0.433,0.331,98,-10.9,-23.3,83.5,25.9,1106
Tommie Agee,- - -,1129,4324,999,130,558,433,167,7.90%,21.20%,0.157,0.302,0.255,0.32,0.412,0.329,110,4.9,54.3,53.7,25.9,1000080
Baby Doll Jacobson,- - -,1472,6072,1714,83,787,821,86,5.80%,6.80%,0.139,0.325,0.311,0.357,0.45,0.374,108,-1.3,67.6,-17.8,25.8,1006316
Ben Oglivie,- - -,1754,6598,1615,235,784,901,87,8.50%,12.90%,0.177,0.282,0.273,0.336,0.45,0.346,116,-9.7,110.1,-76.9,25.8,1009746
Alex Rios,- - -,1691,6929,1778,169,885,794,253,5.80%,16.10%,0.157,0.31,0.277,0.321,0.434,0.327,98,26.6,14.4,9.5,25.8,2090
Mike Greenwell,Red Sox,1269,5166,1400,130,657,726,80,8.90%,7.00%,0.16,0.305,0.303,0.368,0.463,0.364,120,-2.9,117.9,-38.9,25.7,1005006
Billy Werber,- - -,1295,5845,1363,78,875,539,215,12.00%,6.20%,0.12,0.28,0.271,0.364,0.392,0.355,100,10.1,12.4,52.7,25.7,1013783
Fred Merkle,- - -,1638,6426,1580,61,720,733,272,7.10%,9.60%,0.11,0.302,0.273,0.331,0.383,0.344,110,17.7,89.7,-59.4,25.7,1008783
Charles Johnson,- - -,1188,4386,940,167,465,570,6,10.80%,22.70%,0.188,0.286,0.245,0.33,0.433,0.332,97,-8.1,-25.6,145.3,25.7,523
Dave Magadan,- - -,1582,4963,1197,42,516,495,11,14.50%,11.00%,0.089,0.319,0.288,0.39,0.377,0.349,117,-3.7,97,-9.4,25.6,1007961
Hans Lobert,- - -,1317,5227,1252,32,640,482,316,7.60%,5.00%,0.092,0.296,0.274,0.337,0.366,0.342,108,26.1,71.4,-18,25.6,1007684
Greg Vaughn,- - -,1731,7070,1475,355,1017,1072,121,12.20%,21.40%,0.229,0.261,0.242,0.337,0.47,0.35,111,0.3,101.2,-75.7,25.5,1233
Adam Dunn,- - -,2001,8328,1631,462,1097,1168,63,15.80%,28.60%,0.253,0.286,0.237,0.364,0.49,0.367,123,-0.4,239.5,-255.3,25.4,319
Nick Swisher,- - -,1527,6308,1338,245,805,803,13,13.00%,21.80%,0.198,0.287,0.249,0.351,0.447,0.348,114,-4.9,104.9,-65.8,25.4,4599
Carlos Guillen,- - -,1305,5277,1331,124,733,660,74,9.70%,15.20%,0.158,0.319,0.285,0.355,0.443,0.346,111,-3.3,69.2,9.2,25.4,1079
Hank Sauer,- - -,1399,5414,1278,288,709,876,11,10.40%,13.20%,0.23,0.26,0.266,0.347,0.496,0.38,122,2.7,146.8,-74.4,25.1,1011459
Jeromy Burnitz,- - -,1694,6580,1447,315,917,981,74,11.20%,20.90%,0.228,0.279,0.253,0.345,0.481,0.354,110,-1.7,82.7,-44.3,25.1,867
Manny Machado,Orioles,701,3085,786,123,402,361,35,7.00%,17.10%,0.193,0.302,0.278,0.33,0.472,0.344,115,-0.3,53.7,81.7,25.1,11493
Joe Harris,- - -,970,3574,963,47,461,517,36,11.60%,5.30%,0.155,0.327,0.317,0.404,0.472,0.407,132,0.1,145.8,-17.3,25,1005421
Darren Daulton,- - -,1161,4340,891,137,511,588,50,14.50%,16.70%,0.181,0.269,0.245,0.357,0.427,0.348,114,5.3,78,21.7,25,1003010
Lloyd Waner,- - -,1993,8326,2459,27,1201,598,67,5.00%,2.10%,0.077,0.321,0.316,0.353,0.393,0.346,99,9.7,6.4,-14.2,25,1013596
Kyle Seager,Mariners,942,3968,943,139,448,489,42,8.40%,16.60%,0.18,0.288,0.265,0.333,0.445,0.337,117,-6.5,70.9,34.2,25,9785
Jack Rowe,- - -,1044,4626,1256,28,764,644,59,4.80%,3.80%,0.105,0.294,0.286,0.323,0.392,0.332,111,-18,54.3,46.8,25,1011255
Spud Davis,- - -,1458,4713,1312,77,388,647,6,8.20%,6.90%,0.122,0.321,0.308,0.369,0.43,0.368,109,-0.6,52.2,50.4,24.9,1003078
Scott Fletcher,- - -,1612,5976,1376,34,688,510,99,8.60%,9.10%,0.08,0.284,0.262,0.332,0.342,0.308,87,-5.3,-100.6,149.4,24.9,1004155
Bill Lange,Colts,811,3609,1055,39,689,578,399,9.70%,4.10%,0.128,0.337,0.33,0.401,0.459,0.406,122,45.3,169.3,-17.4,24.8,1007315
Chris Hoiles,Orioles,894,3339,739,151,415,449,5,13.00%,18.40%,0.205,0.283,0.262,0.366,0.467,0.368,122,-2.1,89.2,46.8,24.8,1005935
Don Mincher,- - -,1400,4725,1003,200,530,643,24,12.80%,14.10%,0.201,0.251,0.249,0.348,0.45,0.354,126,-5.8,129.3,-35.3,24.8,1008973
Bobby Avila,- - -,1300,5343,1296,80,725,467,78,10.50%,7.50%,0.107,0.293,0.281,0.359,0.388,0.345,108,-1.1,48,18.6,24.8,1000380
Vernon Wells,- - -,1731,7212,1794,270,930,958,109,6.50%,13.30%,0.189,0.278,0.27,0.319,0.459,0.335,102,11.2,35.4,-29.7,24.8,1326
Whitey Kurowski,Cardinals,916,3691,925,106,518,529,19,10.00%,9.00%,0.168,0.293,0.286,0.366,0.455,0.386,127,2.1,120,-2.1,24.7,1007215
Cliff Floyd,- - -,1621,6063,1479,233,824,865,148,9.90%,17.50%,0.204,0.306,0.278,0.358,0.482,0.36,118,18.3,156.9,-103.4,24.7,518
David DeJesus,- - -,1472,5916,1434,99,740,573,66,8.60%,14.20%,0.137,0.309,0.275,0.349,0.412,0.336,105,4.6,39.7,7.9,24.7,1825
Melvin Upton Jr.,- - -,1469,5858,1260,164,723,586,300,10.10%,26.60%,0.158,0.314,0.243,0.321,0.402,0.318,98,42,29.1,21.1,24.7,5015
Joe Rudi,- - -,1547,6077,1468,179,684,810,25,6.10%,14.30%,0.162,0.283,0.264,0.311,0.427,0.329,111,0.4,69.1,-26.5,24.6,1011283
Juan Uribe,- - -,1826,6715,1568,199,724,816,48,5.80%,18.20%,0.163,0.286,0.255,0.301,0.418,0.311,85,-5.6,-128.4,148.1,24.6,454
Orlando Cabrera,- - -,1985,8255,2055,123,985,854,216,6.20%,9.00%,0.118,0.285,0.272,0.317,0.39,0.309,83,26.6,-150.9,124.9,24.6,766
Geoff Jenkins,- - -,1349,5254,1293,221,688,733,32,8.00%,22.60%,0.215,0.322,0.275,0.344,0.49,0.354,111,-10.8,63.1,15.5,24.5,690
George Pinkney,- - -,1163,5189,1212,21,874,539,296,10.10%,4.90%,0.075,0.268,0.263,0.345,0.338,0.333,105,3.2,40.9,34.5,24.5,1010358
Garry Templeton,- - -,2079,8208,2096,70,893,728,242,4.60%,13.30%,0.097,0.307,0.271,0.304,0.369,0.295,83,-2.8,-166.7,134.3,24.5,1012909
John Stone,- - -,1200,5006,1391,77,739,707,45,9.20%,7.00%,0.158,0.323,0.31,0.376,0.467,0.384,115,-10.7,92.6,-22.4,24.4,1012568
Jim Ray Hart,- - -,1125,4236,1052,170,518,578,17,9.00%,13.50%,0.189,0.287,0.278,0.345,0.467,0.359,129,-1.6,136.1,-66,24.3,1005448
Hank Bauer,- - -,1544,5776,1424,164,833,703,50,9.00%,11.00%,0.162,0.288,0.277,0.346,0.439,0.354,114,-0.1,99.7,-48.3,24.3,1000679
Nick Markakis,- - -,1776,7749,1990,162,939,847,63,9.50%,13.30%,0.136,0.317,0.288,0.358,0.424,0.341,110,-11.1,78.5,-96.3,24.3,5930
Jason Varitek,Red Sox,1546,5839,1307,193,664,757,25,10.50%,20.80%,0.179,0.298,0.256,0.341,0.435,0.337,99,-22.8,-27.5,75,24.3,217
Ripper Collins,- - -,1084,4205,1121,135,615,659,18,8.50%,8.90%,0.196,0.301,0.296,0.36,0.492,0.385,126,2.2,141.1,-26.9,24.2,1002464
Amos Strunk,- - -,1512,5803,1418,15,696,530,185,9.90%,6.70%,0.09,0.308,0.284,0.359,0.374,0.353,111,-12.7,57.6,-27.2,24.2,1012634
Andy Seminick,- - -,1304,4571,953,164,495,556,23,12.70%,17.10%,0.174,0.265,0.243,0.347,0.417,0.355,107,2.5,42.6,49.8,24.1,1011742
Bob Bescher,- - -,1228,5277,1171,28,749,345,428,11.70%,9.70%,0.093,0.288,0.258,0.353,0.351,0.347,109,42.6,100.4,-50.7,24.1,1000921
George Wood,- - -,1280,5821,1467,68,965,601,113,7.20%,9.40%,0.13,0.294,0.273,0.329,0.403,0.341,113,-15.8,98.7,-57,24.1,1014217
Tony Gonzalez,- - -,1559,5793,1485,103,690,615,79,8.10%,12.20%,0.127,0.312,0.286,0.35,0.413,0.34,114,-5.4,85.5,-58.9,24.1,1004845
Martin Prado,- - -,1300,5392,1437,97,622,576,39,6.70%,11.10%,0.13,0.313,0.291,0.34,0.422,0.333,107,-15.3,26.9,35.6,24.1,3312
Terry Kennedy,- - -,1491,5421,1313,113,474,628,6,6.70%,15.80%,0.122,0.296,0.264,0.314,0.386,0.308,94,-5.7,-43.5,96.6,24.1,1006850
Garret Anderson,- - -,2228,9177,2529,287,1084,1365,80,4.70%,13.30%,0.168,0.311,0.293,0.324,0.461,0.334,100,-7.2,-12.6,-59.6,24,2
Delino DeShields,- - -,1615,6652,1548,80,872,561,463,11.30%,16.00%,0.109,0.314,0.268,0.352,0.377,0.329,101,32.3,35.5,-17.7,24,275
Johnny Ray,- - -,1353,5664,1502,53,604,594,80,6.20%,5.80%,0.101,0.298,0.29,0.333,0.391,0.322,100,-5.1,-2.6,46.3,24,1010727
Dave Cash,- - -,1422,6057,1571,21,732,426,120,7.00%,5.10%,0.075,0.295,0.283,0.334,0.358,0.316,95,-3,-38.3,69.7,24,1002041
Buck Freeman,- - -,1126,4619,1235,82,588,713,92,5.90%,10.00%,0.168,0.25,0.293,0.346,0.462,0.379,127,-11.2,149.5,-70,23.9,1004316
Ival Goodman,- - -,1107,4440,1104,95,609,525,49,8.60%,8.60%,0.164,0.292,0.281,0.352,0.445,0.365,120,7.8,113.7,-11.5,23.9,1004857
Andre Ethier,Dodgers,1433,5387,1359,160,638,684,29,9.60%,17.20%,0.178,0.322,0.285,0.359,0.463,0.355,123,-2,144.5,-81.9,23.9,6265
Billy Goodman,- - -,1623,6446,1691,19,807,591,37,10.40%,5.10%,0.079,0.315,0.3,0.376,0.378,0.351,101,-1.4,10.8,13.5,23.9,1004856
Deacon McGuire,- - -,1781,6932,1748,45,770,840,117,7.40%,6.80%,0.094,0.304,0.278,0.341,0.372,0.342,99,-34.3,-31,41.6,23.9,1008553
Mickey Rivers,- - -,1468,6026,1660,61,785,499,267,4.40%,7.80%,0.102,0.312,0.295,0.327,0.397,0.326,106,19.2,57.1,-25.2,23.9,1011005
Juan Pierre,- - -,1994,8280,2217,18,1075,517,614,5.60%,5.80%,0.066,0.312,0.295,0.343,0.361,0.315,86,89.5,-58.5,28.8,23.9,443
Tony Pena,- - -,1988,7073,1687,107,667,708,80,6.40%,12.00%,0.104,0.283,0.26,0.309,0.364,0.3,83,-10.4,-156.2,155.1,23.9,1010153
Solly Hemus,- - -,961,3250,736,51,459,263,21,14.00%,7.60%,0.138,0.285,0.273,0.39,0.411,0.371,117,0,68.3,60.2,23.8,1005627
George McQuinn,- - -,1550,6597,1588,135,832,794,32,10.80%,9.60%,0.148,0.292,0.276,0.357,0.424,0.365,108,-9.3,61.5,-54.1,23.8,1008683
Andre Thornton,- - -,1565,6295,1342,253,792,895,48,13.90%,13.50%,0.198,0.256,0.254,0.36,0.452,0.361,122,-4.5,154.7,-133.5,23.8,1013037
Jose Altuve,Astros,924,4072,1180,75,517,378,220,6.00%,10.50%,0.134,0.338,0.316,0.361,0.45,0.35,123,4.6,114,-19,23.8,5417
Rondell White,- - -,1474,5852,1519,198,756,768,94,6.20%,15.80%,0.179,0.309,0.284,0.336,0.462,0.346,107,-2.4,53.5,-3.3,23.8,856
Willie Jones,- - -,1691,6714,1502,190,786,812,40,11.20%,8.10%,0.152,0.256,0.258,0.343,0.41,0.343,103,4.8,26.4,-4.3,23.8,1006601
Michael Young,- - -,1970,8612,2375,185,1137,1030,90,6.70%,14.30%,0.141,0.333,0.3,0.346,0.441,0.342,104,-15.8,28.8,-79.4,23.8,1286
Earl Battey,- - -,1141,4104,969,104,393,449,13,10.30%,11.50%,0.138,0.284,0.27,0.349,0.409,0.337,107,-0.8,33.9,72.3,23.8,1000670
Jimmy Wolf,- - -,1198,5239,1440,18,779,593,186,4.40%,6.00%,0.098,0.287,0.29,0.327,0.387,0.334,112,-4.7,87.1,-27.6,23.8,1014195
George Selkirk,Yankees,846,3322,810,108,503,576,49,14.60%,9.60%,0.192,0.297,0.29,0.4,0.483,0.404,128,-6.1,125.6,-0.4,23.7,1011732
Freddie Freeman,Braves,962,4022,1014,156,554,554,23,11.20%,21.40%,0.206,0.342,0.29,0.376,0.496,0.374,137,-4,173.4,-71.9,23.7,5361
Gus Suhr,- - -,1435,5989,1446,84,714,818,53,12.00%,7.20%,0.148,0.292,0.279,0.368,0.428,0.367,114,8.5,116,-62.8,23.7,1012674
Charlie Hollocher,Cubs,760,3390,894,14,411,241,99,8.20%,2.80%,0.088,0.311,0.304,0.37,0.392,0.362,112,-14.4,31.6,83.4,23.7,1005964
Bill Mueller,- - -,1216,4886,1229,85,663,493,20,11.10%,11.70%,0.134,0.316,0.291,0.373,0.425,0.352,112,-16.8,59.1,22.2,23.7,295
Joe Ferguson,- - -,1013,3624,719,122,407,445,22,15.50%,16.70%,0.17,0.259,0.24,0.358,0.409,0.346,118,0.7,75.7,31.4,23.7,1003990
Tom Tresh,- - -,1192,4895,1041,153,595,530,45,11.20%,14.30%,0.166,0.259,0.245,0.335,0.411,0.334,115,0.9,83.7,-2.5,23.7,1013179
Ramon Hernandez,- - -,1526,5701,1345,169,580,757,9,7.50%,12.90%,0.154,0.276,0.263,0.327,0.417,0.325,96,-27.7,-59.5,107.6,23.7,918
Stan Spence,- - -,1112,4446,1090,95,541,575,21,11.70%,5.60%,0.155,0.282,0.282,0.369,0.437,0.379,125,-6.7,115.7,-46.1,23.6,1012328
Frank Fennelly,- - -,786,3451,781,34,609,408,175,11.00%,13.40%,0.121,0.302,0.257,0.345,0.378,0.343,114,1.1,76.6,56.5,23.6,1003980
Aaron Rowand,- - -,1358,4817,1193,136,613,536,67,5.40%,19.00%,0.163,0.316,0.273,0.33,0.435,0.333,100,7.8,10,70.4,23.6,254
Curt Walker,- - -,1359,5572,1475,64,718,688,96,9.60%,4.60%,0.136,0.311,0.304,0.374,0.44,0.375,111,7.8,88.4,-31.1,23.5,1013510
Matt Kemp,- - -,1510,6172,1611,253,858,902,183,7.50%,23.40%,0.202,0.34,0.287,0.34,0.489,0.354,123,13.8,178.9,-145.5,23.5,5631
Howard Johnson,- - -,1531,5715,1229,228,760,760,231,12.10%,18.40%,0.197,0.269,0.249,0.34,0.446,0.344,117,14,122.3,-89.4,23.5,1006462
Bobby Lowe,- - -,1818,7741,1929,71,1131,984,302,6.10%,6.30%,0.087,0.303,0.273,0.325,0.36,0.328,86,0,-125.8,100.6,23.5,1007786
Hank Thompson,- - -,933,3568,801,129,492,482,33,13.80%,9.40%,0.186,0.263,0.267,0.372,0.453,0.377,120,2.5,92.2,27.6,23.4,1013012
Johnny Hopp,- - -,1393,4804,1262,46,698,458,128,9.70%,7.90%,0.118,0.317,0.296,0.368,0.414,0.367,115,23.2,106.1,-29.8,23.4,1006022
Tilly Walker,- - -,1421,5668,1423,118,696,679,129,7.30%,9.80%,0.146,0.296,0.281,0.339,0.427,0.361,112,-1,79.7,-51.5,23.4,1013534
Dan Uggla,- - -,1346,5509,1149,235,759,706,26,11.40%,24.30%,0.206,0.283,0.241,0.336,0.447,0.341,109,13.7,75.5,-17.9,23.4,3442
Woodie Held,- - -,1390,4645,963,179,524,559,14,10.90%,20.30%,0.182,0.268,0.24,0.331,0.421,0.334,107,0,43.5,46.7,23.4,1005609
Yunel Escobar,- - -,1424,5913,1490,89,684,514,34,8.50%,11.50%,0.103,0.309,0.282,0.35,0.386,0.327,103,-30.9,-7.7,42.1,23.4,4191
Socks Seybold,- - -,997,4114,1085,51,478,556,66,7.10%,,0.13,,0.294,0.353,0.424,0.371,128,-14.3,120.6,-38.8,23.3,1011775
Danny Green,- - -,923,3938,1021,29,552,423,192,8.00%,,0.098,,0.293,0.359,0.391,0.359,122,9,112.4,-20,23.3,1004988
Tommy McCarthy,- - -,1275,5739,1496,44,1069,735,468,9.40%,3.70%,0.084,0.296,0.292,0.364,0.376,0.358,105,31.3,75.6,-36.9,23.3,1008379
Al Smith,- - -,1517,6172,1458,164,843,676,67,10.90%,12.40%,0.157,0.29,0.272,0.358,0.429,0.353,116,-0.3,118.3,-82.8,23.3,1012090
Tom Brunansky,- - -,1800,7169,1543,271,804,919,69,10.70%,16.60%,0.188,0.259,0.245,0.327,0.434,0.337,106,-15.8,29.3,-35.8,23.3,1001589
Paul Konerko,- - -,2349,9505,2340,439,1162,1412,9,9.70%,14.60%,0.208,0.286,0.279,0.354,0.486,0.361,118,-87.5,127.3,-215.1,23.2,242
Larry Hisle,- - -,1197,4780,1146,166,652,674,128,9.70%,19.70%,0.18,0.312,0.273,0.347,0.452,0.358,123,3.3,126.2,-66.2,23.2,1005858
Johnny Romano,- - -,905,3256,706,129,355,417,7,12.70%,14.90%,0.188,0.264,0.255,0.354,0.443,0.353,122,-1.1,84.4,41,23.2,1011165
Mark Grudzielanek,- - -,1802,7603,2040,90,946,640,133,4.80%,12.50%,0.104,0.322,0.289,0.332,0.393,0.32,91,4.1,-80,69.4,23.2,653
Fred Carroll,- - -,754,3290,820,27,546,366,137,10.60%,6.20%,0.124,0.301,0.284,0.37,0.408,0.37,129,-8.7,145.2,-6,23.1,1002002
Elvis Andrus,Rangers,1315,5611,1376,48,706,489,261,7.70%,13.40%,0.09,0.313,0.275,0.334,0.365,0.311,88,48.2,-31.3,66.7,23.1,8709
Jim Northrup,- - -,1392,5215,1254,153,603,610,39,8.60%,12.20%,0.162,0.28,0.267,0.333,0.429,0.342,116,-4.7,86.3,-28.1,23,1009641
Bret Boone,- - -,1780,7433,1775,252,927,1021,94,7.40%,17.40%,0.176,0.292,0.266,0.325,0.442,0.332,101,-8.7,-3,-8.6,23,1067
Johnny Mostil,White Sox,972,4096,1054,23,618,376,176,10.10%,8.20%,0.126,0.328,0.301,0.386,0.427,0.38,114,-4.3,70.9,20.9,22.9,1009255
Johnny Bates,- - -,1154,4597,1087,25,565,417,187,10.90%,7.70%,0.099,0.314,0.278,0.367,0.377,0.365,120,3.5,110.7,-53.5,22.9,1000662
Tom Herr,- - -,1514,6116,1450,28,676,574,188,10.30%,9.50%,0.079,0.297,0.271,0.347,0.35,0.317,97,10.7,-7.9,24.8,22.9,1005737
Tom Burns,- - -,1251,5198,1299,39,722,683,162,5.20%,8.70%,0.1,0.285,0.264,0.303,0.364,0.311,95,1,-39,90.8,22.9,1001720
Irish Meusel,- - -,1289,5309,1521,106,701,819,113,5.10%,3.70%,0.154,0.308,0.31,0.348,0.464,0.374,117,3.4,113.7,-60.8,22.8,1008818
Casey Stengel,- - -,1277,4869,1219,60,575,535,131,9.00%,9.30%,0.126,0.307,0.284,0.356,0.41,0.365,120,-1.2,108.4,-53,22.8,1012481
Tommy Harper,- - -,1810,7164,1609,146,972,567,408,10.50%,15.10%,0.122,0.288,0.257,0.338,0.379,0.327,104,40.2,69.1,-84.7,22.8,1005383
Billy North,- - -,1169,4621,1016,20,640,230,395,13.60%,14.40%,0.062,0.308,0.261,0.365,0.323,0.324,106,17.1,47.7,20.2,22.8,1009638
A.J. Pierzynski,- - -,2059,7815,2043,188,807,909,15,3.90%,11.50%,0.14,0.296,0.28,0.319,0.42,0.319,92,-65.6,-144.9,109,22.8,746
Greg Gagne,- - -,1798,6209,1440,111,712,604,108,5.90%,18.10%,0.129,0.297,0.254,0.302,0.382,0.304,83,-19,-150.5,174.1,22.8,1004427
Wally Moon,- - -,1457,5566,1399,142,737,661,89,11.60%,10.60%,0.157,0.303,0.289,0.371,0.445,0.363,119,-6.2,121.6,-78.6,22.7,1009085
Bernard Gilkey,- - -,1239,4626,1115,118,606,546,115,10.10%,15.30%,0.159,0.304,0.275,0.352,0.434,0.347,111,-7.1,54.7,22.8,22.7,1004706
Carlos Ruiz,- - -,1120,4023,927,69,402,413,25,9.90%,12.10%,0.126,0.289,0.265,0.351,0.391,0.326,101,-11.5,-10.4,102.3,22.7,2579
Jack Barry,- - -,1223,4902,1009,10,532,429,153,8.10%,5.40%,0.06,0.253,0.243,0.321,0.303,0.309,91,-2.4,-48.1,103.2,22.7,1000616
Johnny Roseboro,- - -,1585,5527,1206,104,512,548,67,9.90%,12.20%,0.122,0.268,0.249,0.326,0.371,0.308,93,-6.3,-49.1,82.4,22.7,1011199
Danny Tartabull,- - -,1406,5842,1366,262,756,925,37,13.10%,23.30%,0.223,0.322,0.273,0.368,0.496,0.379,133,-6.2,223,-202.8,22.6,1012829
Billy Rogell,- - -,1482,5919,1375,42,755,609,82,11.00%,7.00%,0.103,0.284,0.267,0.351,0.37,0.339,86,-12.9,-127.1,140.7,22.6,1011128
Al Bumbry,- - -,1496,5619,1422,54,778,402,254,8.40%,12.60%,0.096,0.317,0.281,0.343,0.378,0.328,106,15.8,55.6,-22.8,22.6,1001649
Steve Sax,- - -,1769,7632,1949,54,913,550,444,7.30%,7.70%,0.077,0.299,0.281,0.335,0.358,0.313,97,16.5,-10,-23.8,22.6,1011481
Zeke Bonura,- - -,917,4026,1099,119,600,704,19,10.00%,4.50%,0.181,0.299,0.307,0.38,0.487,0.394,119,-1.2,109.4,-17.9,22.5,1001176
Justin Morneau,- - -,1545,6392,1603,247,772,985,5,9.00%,15.50%,0.199,0.299,0.281,0.348,0.481,0.353,116,-23.7,103.5,-94.2,22.5,1737
Orator Shaffer,- - -,871,3784,1000,11,601,317,34,6.00%,8.20%,0.085,0.291,0.282,0.326,0.367,0.321,118,0.7,95.5,4.1,22.5,1011783
Michael Bourn,- - -,1361,5323,1272,36,678,361,341,8.40%,21.10%,0.091,0.339,0.266,0.329,0.357,0.306,88,66.3,-10.2,57.4,22.5,6387
Trot Nixon,- - -,1092,4224,995,137,579,555,30,11.90%,16.30%,0.19,0.301,0.274,0.364,0.464,0.359,115,0,77.8,4.4,22.4,204
Burt Shotton,- - -,1387,5742,1338,9,746,290,293,12.40%,8.70%,0.063,0.299,0.271,0.365,0.333,0.345,111,-5.4,61.5,-46.8,22.4,1011933
Randy Velarde,- - -,1273,4813,1171,100,633,445,78,9.60%,17.70%,0.132,0.324,0.276,0.352,0.408,0.341,103,-0.7,22.1,42.1,22.4,942
Marlon Byrd,- - -,1574,6123,1534,159,740,710,56,6.20%,20.20%,0.155,0.324,0.275,0.329,0.43,0.331,102,6.5,18.7,1.7,22.4,950
Ray Schalk,- - -,1762,6217,1345,11,579,594,177,10.30%,5.80%,0.062,0.27,0.253,0.34,0.316,0.321,88,1.1,-95.6,99.3,22.4,1011517
Tommy Corcoran,- - -,2200,9368,2252,34,1184,1135,387,4.10%,5.20%,0.08,0.276,0.256,0.289,0.335,0.298,73,13.8,-333.2,208.9,22.4,1002622
Jay Buhner,- - -,1472,5927,1273,310,797,965,6,13.40%,23.70%,0.24,0.287,0.254,0.359,0.494,0.371,123,-9,167.4,-142.1,22.3,1001638
Casey Blake,- - -,1265,5091,1186,167,644,616,36,8.70%,20.40%,0.178,0.305,0.264,0.336,0.442,0.337,106,3.6,42.7,10.7,22.3,719
